address,basePool0,basePool1,yfi,backstop,ghouls,rope,stakedRopeAmount,unisock,pooliJudge,pooliLawyer,pooliSupporter,defiShare,defiAmount,nftShare,nftAmount,poolyShare,poolyAmount,totalAmount,share,chain
0x2a7051d7cbbef7b6889f8e14774020b1653b94c1,,,FALSE,,5,0,0,0,0,0,0,0,0,5,2898.478,0,0,2898.478,5,Arbitrum
0x2ab33dcf1654b7dcbab4f83ded130d9ce8e19378,,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x2afccecb86504de8023def0cac5a7fbc240830bb,,,FALSE,enlisted,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Optimism
0x2b3d7382e3ee91a42ac6e2c45c8fbce6c5639310,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x2bdd21457ccc8cdbe2e4c2a94b7d346675ab10db,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x2cb00a7bc48d08053c2d651bb661ff2e794265ee,,,FALSE,,0,0,13,0,0,0,0,0,0,3.25,1884.011,0,0,1884.011,3.25,Arbitrum
0x2d8b0990fcdfd5f5ca99f456a49b4072d927cb1c,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x2dedeed864baf0728e700696333a79f13a5858e1,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x2e1bbb7c78a5a534df2442909ab14ce370431e76,,,TRUE,,0,6,11,0,0,0,0,3,2035.815,4.25,2463.706,0,0,4499.521,7.25,Arbitrum
0x2ec1d7a211245d31aaad13ffc11a06e2b21d56e3,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x2f16c5ae6f07aa2b85c6b71e9179ffcb47045677,,,FALSE,,3,0,11,0,0,0,0,1,678.6051,5.75,3333.249,0,0,4011.855,6.75,Arbitrum
0x2f9021771ede6a07324ae62cb4864105691248fb,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd,,,FALSE,,0,8,23,1,0,0,0,0,0,8.75,5072.336,0,0,5072.336,8.75,Arbitrum
0x3051af9312651aea6e6d8a7b7a80d25c5f1152e1,,Staked,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Optimism
0x30c97952d551831ef61aa3e1d58fa7a873d3ef03,,,FALSE,,3,0,0,0,0,0,0,0,0,3,1739.087,0,0,1739.087,3,Arbitrum
0x30f8a91035da662722b72ab32efa454b2530b530,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x310889a83aa9b989f7251ceda4525241e912f21f,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x31331ec182777b3e3cf127f4709a8aaa8f76e549,,,FALSE,,0,0,0,0,0,0,2,0,0,0,0,2,1105.142,1105.142,2,Arbitrum
0x31613fa26f749dd32b27e78566184b287e753d76,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x31a6d0ea27db941257024189a3718472d40ef663,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x31ae2c2caec2bc9211cc6e55d73dc3e874babdbb,,,FALSE,,2,0,0,0,0,0,0,0,0,2,1159.391,0,0,1159.391,2,Arbitrum
0x31d173ea66fa8fba38b3ddb798c1c1098f3ae8c5,,,TRUE,,6,0,0,0,0,0,0,1,678.6051,6,3478.173,0,0,4156.778,7,Arbitrum
0x3238b53a910b69f5dbdb31786613ce944536ba19,,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x324e0b53cefa84cf970833939249880f814557c6,,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x32628d777b865b2e029b0e5e5715c1ddd347b3f3,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x3286536cf224aeea02d1099d7f3bdfb58654e9d2,,,FALSE,,0,0,10,0,0,0,0,0,0,2.5,1449.239,0,0,1449.239,2.5,Optimism
0x32cb4d6093b854061c63c1d3f243347a45a17e0b,,,FALSE,,1,0,0,0,0,0,1,0,0,1,579.6956,1,552.571,1132.267,2,Arbitrum
0x32ebe9ff7006786f6ed4311dfd46d4d94a149622,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x331db768bb12884b577312d6d0456a9e186010f6,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x335147a6afcfe1136d9341c9a264f4a69616ad7a,,,FALSE,,4,0,0,0,0,0,0,0,0,4,2318.782,0,0,2318.782,4,Arbitrum
0x33ab17c44929ab7b05d473f6d72d9fa7cda3d8e7,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x33dfba48f77f4dff1b69532b523ebb076da3c33c,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x33f144aa851e9e55b042f46014bb4f737bc777bf,,,TRUE,,1,0,0,0,0,0,0,1,678.6051,1,579.6956,0,0,1258.301,2,Arbitrum
0x3476bec6f4e08819e7e882ae36ddbaa3f76f02ac,,,FALSE,,0,8,0,0,0,0,0,0,0,2,1159.391,0,0,1159.391,2,Optimism
0x348541eb9604d28ad14274a397e9396f7ba955bc,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Optimism
0x35105c1a66c589ff7f2bcaff5cc51080020aa549,,,FALSE,,2,0,0,0,0,0,0,0,0,2,1159.391,0,0,1159.391,2,Arbitrum
0x35641673a0ce64f644ad2f395be19668a06a5616,Staked,Staked,FALSE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Arbitrum
0x36162c7b2d4a94686d74f8c9649769e1733ee42e,Staked,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
